state,district,pincode,age_0_5,age_5_17,age_18_greater,total_enrolments
Uttar Pradesh,Moradabad,244001,10516,4443,163,15122
Uttar Pradesh,Aligarh,202001,6212,5201,265,11678
Meghalaya,West Khasi Hills,793119,1576,5938,3723,11237
Delhi,West Delhi,110059,7297,2425,740,10462
Uttar Pradesh,Saharanpur,247001,6963,2962,68,9993
Uttar Pradesh,Rampur,244901,5817,3533,156,9506
Uttar Pradesh,Meerut,250002,5576,3493,83,9152
Maharashtra,Aurangabad,431001,5752,2747,129,8628
Uttar Pradesh,Agra,282001,4673,3623,255,8551
Uttar Pradesh,Shahjahanpur,242001,4824,3543,103,8470
Madhya Pradesh,Barwani,451666,4728,3460,271,8459
Uttar Pradesh,Gautam Buddha Nagar,201301,3829,4176,368,8373
Uttar Pradesh,Unnao,209801,3931,4016,149,8096
Haryana,Faridabad,121004,6290,1527,140,7957
Maharashtra,Thane,421302,5138,2538,120,7796
Delhi,North East Delhi,110094,4792,2417,45,7254
Uttar Pradesh,Bahraich,271855,2869,3867,431,7167
Bihar,Sitamarhi,843302,3573,3371,143,7087
Uttar Pradesh,Firozabad,283203,4511,2450,64,7025
Bihar,Sitamarhi,843324,3231,2955,803,6989
Madhya Pradesh,Morena,476001,4649,2102,164,6915
Madhya Pradesh,Jhabua,457661,2884,3676,180,6740
Uttar Pradesh,Kanpur Nagar,208001,3066,3397,224,6687
Meghalaya,West Jaintia Hills,793150,1632,2980,1996,6608
Uttar Pradesh,Ghaziabad,201102,2901,3456,104,6461
Rajasthan,Jodhpur,342001,4617,1553,266,6436
Uttar Pradesh,Hardoi,241001,3348,2913,50,6311
Rajasthan,Alwar,301001,4352,1649,104,6105
Madhya Pradesh,Burhanpur,450331,4231,1624,207,6062
Maharashtra,Nashik,423203,3669,2277,77,6023
Uttar Pradesh,Etah,207001,3648,2225,82,5955
Uttar Pradesh,Varanasi,221001,2299,3465,166,5930
Uttar Pradesh,Bahraich,271865,1782,3467,482,5731
Punjab,Amritsar,143001,4238,1256,201,5695
