date,age_0_5,age_5_17,age_18_greater,total_enrolments
2025-01-04,141154,91371,24913,257438
2025-01-05,95342,71690,16584,183616
2025-01-06,98943,99911,16880,215734
2025-01-07,318352,263333,35183,616868
2025-01-09,48752,25157,1077,74986
2025-01-11,11356,5875,617,17848
2025-02-03,11,61,37,109
2025-02-09,50548,24998,948,76494
2025-02-11,69863,26958,314,97135
2025-03-09,47842,23301,844,71987
2025-03-11,20449,9196,1278,30923
2025-04-09,43056,21462,829,65347
2025-04-11,736,265,6,1007
2025-05-09,18400,7238,431,26069
2025-05-11,52855,21520,740,75115
2025-06-09,40158,18244,555,58957
2025-06-11,29327,12489,1480,43296
2025-07-09,10304,4197,156,14657
2025-07-11,28437,11692,1405,41534
2025-08-09,57657,24816,878,83351
2025-08-11,34659,14910,882,50451
2025-09-03,1037,1777,590,3404
2025-09-09,60515,27138,855,88508
2025-09-11,35467,11650,178,47295
2025-10-09,57752,25725,823,84300
2025-10-11,45109,17586,1250,63945
2025-11-09,48576,23835,794,73205
2025-11-11,28811,11495,1146,41452
2025-12-09,53359,24703,797,78859
2025-12-11,23479,12620,2206,38305
